slug	espn_id	name	espn_gender	class	class_reason	in_target	hidden	live	current_season_year	deep_level	fotmob_id	sofascore_id	note
afc.asian.cup	20219	AFC Asian Cup	MALE	senior_official	rule:default	1	0	1	2027				
afc.champions	3902	AFC Champions League Elite	MALE	senior_official	rule:default	1	0	1	2025				
afc.champions_qual	24452	AFC Champions League Elite Qualifying	MALE	senior_official	rule:default	1	0	1	2026				есть в core 24.09, нет в фикстуре 31.07 (новый турнир - обнаружение не работает с 15.08)
afc.cup	2466	AFC Champions League Two	MALE	senior_official	rule:default	1	0	1	2025				
afc.cup_qual	24455	AFC Champions League Two Qualifying	MALE	senior_official	rule:default	1	0	1	2026				
afc.cupq	5662	AFC Asian Cup Qualifiers	MALE	senior_official	rule:default	1	0	1	2024				
afc.saff.championship	18914	SAFF Championship	MALE	senior_official	rule:default	1	0	1	2023				
afc.w.asian.cup	23537	AFC Women's Asian Cup	FEMALE	women	rule:women_gender	0	0	1	2026				
aff.championship	5672	ASEAN Championship	MALE	senior_official	rule:default	1	0	1	2026				
arg.1	745	Argentine Liga Profesional de Fútbol	MALE	senior_official	rule:default	1	0	1	2026				
arg.2	3903	Argentine Nacional B	MALE	senior_official	rule:default	1	0	1	2026				
arg.3	3904	Argentine Primera B	MALE	senior_official	rule:default	1	0	1	2026				
arg.copa	8107	Copa Argentina	MALE	senior_official	rule:default	1	0	1	2026				
arg.copa_de_la_superliga	19264	Argentine Copa de la Superliga	MALE	senior_official	rule:default	1	0	1	2020				издание <=2022: турнир неактивен/упразднён у ESPN - только история
arg.supercopa	8346	Argentine Supercopa	MALE	senior_official	rule:default	1	0	1	2026				
arg.supercopa.internacional	23348	Argentine Supercopa Internacional	MALE	senior_official	rule:default	1	0	1	2024				
arg.trofeo_de_la_campeones	19705	Argentine Trofeo de Campeones	MALE	senior_official	rule:default	1	0	1	2025				
aus.1	3906	Australian A-League Men	MALE	senior_official	rule:default	1	0	1	2026				
aus.w.1	18992	Australian A-League Women	FEMALE	women	rule:women_gender	0	0	1	2025				
