tournament_id	capture_key	name	class	queue_priority	basis
1	SS-1	EURO	core	1	G1:CORE взрослые мужские
7	SS-7	UEFA Champions League	core	1	G1:CORE взрослые мужские
8	ESP-La Liga	LaLiga	core	1	registry:tournaments.json (дейли до #1370)
9	SS-9	Challenger Pro League	core	1	G1:CORE взрослые мужские
11	SS-11	World Cup Qual. UEFA	core	1	G1:CORE взрослые мужские
13	SS-13	World Cup Qual. CAF	core	1	G1:CORE взрослые мужские
14	SS-14	World Cup Qual. CONCACAF	core	1	G1:CORE взрослые мужские
16	INT-World Cup	FIFA World Cup	core	1	registry:tournaments.json (дейли до #1370)
17	ENG-Premier League	Premier League	core	1	registry:tournaments.json (дейли до #1370)
18	SS-18	Championship	core	1	G1:CORE взрослые мужские
19	SS-19	FA Cup	core	1	G1:CORE взрослые мужские
20	SS-20	Eliteserien	core	1	G1:CORE взрослые мужские
21	SS-21	EFL Cup	core	1	G1:CORE взрослые мужские
22	SS-22	Norwegian 1st Division	core	1	G1:CORE взрослые мужские
23	ITA-Serie A	Serie A	core	1	registry:tournaments.json (дейли до #1370)
24	SS-24	League One	core	1	G1:CORE взрослые мужские
25	SS-25	League Two	core	1	G1:CORE взрослые мужские
27	SS-27	EURO, Qualification	core	1	G1:CORE взрослые мужские
28	SS-28	AFC Asian Cup Qual.	core	1	G1:CORE взрослые мужские
29	SS-29	NM Cup	core	1	G1:CORE взрослые мужские
34	FRA-Ligue 1	Ligue 1	core	1	registry:tournaments.json (дейли до #1370)
35	GER-Bundesliga	Bundesliga	core	1	registry:tournaments.json (дейли до #1370)
36	SS-36	Scottish Premiership	core	1	G1:CORE взрослые мужские
37	SS-37	VriendenLoterij Eredivisie	core	1	G1:CORE взрослые мужские
38	SS-38	Pro League	core	1	G1:CORE взрослые мужские
39	SS-39	Danish Superliga	core	1	G1:CORE взрослые мужские
40	SS-40	Allsvenskan	core	1	G1:CORE взрослые мужские
41	SS-41	Veikkausliiga	core	1	G1:CORE взрослые мужские
44	SS-44	2. Bundesliga	core	1	G1:CORE взрослые мужские
45	SS-45	Austrian Bundesliga	core	1	G1:CORE взрослые мужские
46	SS-46	Superettan	core	1	G1:CORE взрослые мужские
47	SS-47	Betinia Liga	core	1	G1:CORE взрослые мужские
52	SS-52	Trendyol Süper Lig	core	1	G1:CORE взрослые мужские
53	SS-53	Serie B	core	1	G1:CORE взрослые мужские
54	SS-54	LaLiga 2	core	1	G1:CORE взрослые мужские
55	SS-55	Ykkösliiga	core	1	G1:CORE взрослые мужские
65	SS-65	CampoBet 2 Division	core	1	G1:CORE взрослые мужские
67	SS-67	Ettan, Norra	core	1	G1:CORE взрослые мужские
68	SS-68	Ettan, Södra	core	1	G1:CORE взрослые мужские
70	SS-70	Division 2, Norra Svealand	core	1	G1:CORE взрослые мужские
71	SS-71	Division 2, Norrland	core	1	G1:CORE взрослые мужские
72	SS-72	Division 2, Södra Götaland	core	1	G1:CORE взрослые мужские
73	SS-73	Division 2, Västra Götaland	core	1	G1:CORE взрослые мужские
74	SS-74	Division 2, Södra Svealand	core	1	G1:CORE взрослые мужские
76	SS-76	Oddset Pokalen	core	1	G1:CORE взрослые мужские
80	SS-80	Svenska Cupen	core	1	G1:CORE взрослые мужские
83	SS-83	Liigacup	core	1	G1:CORE взрослые мужские
91	SS-91	Russian Cup	core	1	G1:CORE взрослые мужские
92	SS-92	Carioca	core	1	G1:CORE взрослые мужские
96	SS-96	Türkiye Kupası	core	1	G1:CORE взрослые мужские
97	SS-97	Nesine 2. Lig	core	1	G1:CORE взрослые мужские
98	SS-98	Trendyol 1.Lig	core	1	G1:CORE взрослые мужские
101	SS-101	J. League Cup	core	1	G1:CORE взрослые мужские
131	SS-131	Eerste Divisie	core	1	G1:CORE взрослые мужские
133	SS-133	Copa América	core	1	G1:CORE взрослые мужские
135	SS-135	2. Liga	core	1	G1:CORE взрослые мужские
136	SS-136	A-League Men	core	1	G1:CORE взрослые мужские
140	SS-140	CONCACAF Gold Cup	core	1	G1:CORE взрослые мужские
152	SS-152	SuperLiga României	core	1	G1:CORE взрослые мужские
154	SS-154	Montenegrin First League	core	1	G1:CORE взрослые мужские
