id	name	country	confederation	tier	class	route	live	current_saison_id	step2_saison_ids	fotmob_id	sofascore_id	fbref_id	reason
17AC	Africa U-17 Cup of Nations	International	CAF	international	youth	pokal	1	2025					rule:youth
17DA	U17 DFB-Nachwuchsliga - Vorrunde Gruppe A	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DB	U17 DFB-Nachwuchsliga - Vorrunde Gruppe B	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DC	U17 DFB-Nachwuchsliga - Vorrunde Gruppe C	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DD	U17 DFB-Nachwuchsliga - Vorrunde Gruppe D	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DE	U17 DFB-Nachwuchsliga - Vorrunde Gruppe E	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DF	U17 DFB-Nachwuchsliga - Vorrunde Gruppe F	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DG	U17 DFB-Nachwuchsliga - Vorrunde Gruppe G	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17DH	U17 DFB-Nachwuchsliga - Vorrunde Gruppe H	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
17WC	U17 World Cup	International	International	international	youth	pokal	1	2025					rule:youth
19D1	U19 DFB-Nachwuchsliga - Vorrunde Gruppe A	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D2	U19 DFB-Nachwuchsliga - Vorrunde Gruppe B	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D3	U19 DFB-Nachwuchsliga - Vorrunde Gruppe C	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D4	U19 DFB-Nachwuchsliga - Vorrunde Gruppe D	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D5	U19 DFB-Nachwuchsliga - Vorrunde Gruppe E	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D6	U19 DFB-Nachwuchsliga - Vorrunde Gruppe F	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D7	U19 DFB-Nachwuchsliga - Vorrunde Gruppe G	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D8	U19 DFB-Nachwuchsliga - Vorrunde Gruppe H	Germany	UEFA	youth	youth	wettbewerb	1	2026	2024				rule:youth
19D9	U19 DFB-Nachwuchsliga - Vorrunde Gruppe I	Germany	UEFA	youth	youth	wettbewerb	1	2026					rule:youth
19YL	UEFA Youth League	International	UEFA	youth	youth	pokal	1	2026					rule:youth
20AC	Africa U-20 Cup of Nations	International	CAF	international	youth	pokal	1	2026					rule:youth
211F	U21 Division 1 Fall	Netherlands	UEFA	youth	youth	wettbewerb	1	2026	2020,2021,2022,2023,2024				rule:youth
212F	U21 Division 2 Fall	Netherlands	UEFA	youth	youth	wettbewerb	1	2026	2020,2021,2022,2023,2024				rule:youth
23AF	AFC U23 Asian Cup	International	AFC	international	youth	pokal	1	2025					rule:youth
2DVB	2. Division B	Russia	UEFA	4	core_club	wettbewerb	1	2025	2023				rule:default
510	Derde Divisie A	Netherlands	UEFA	4	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
511	Derde Divisie B	Netherlands	UEFA	4	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
A1	Bundesliga	Austria	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	38			rule:default
A168	AFC U17 Asian Cup	International	AFC	international	youth	pokal	1	2025					rule:youth
A169	AFC U17 Asian Cup Qualification	International	AFC	international	youth	pokal	1	2025					rule:youth
A1P1	Playoff Torneo Apertura	Argentina	Americas	playoff	core_club	wettbewerb	1	2025					rule:default
A2	2. Liga	Austria	UEFA	2	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	119	135		rule:default
A23Q	AFC U23 Asian Cup Qualification	International	AFC	international	youth	pokal	1	2025					rule:youth
A2SW	National Premier League - New South Wales	Australia	AFC	2	core_club	wettbewerb	1	2025	2019,2020,2021,2022,2023				rule:default
A2VI	National Premier League - Victoria	Australia	AFC	2	core_club	wettbewerb	1	2025	2020,2021,2022,2023				rule:default
